,Primary_word,Node_A_word,link_category,Node_B_word,link_distance,link_degree,Primary_distance,Primary_degree,link_strength,link_count,primary_link
0,ADEPT,ADEPT,SKILLFUL,ADROIT,1,0,1,0,3.5,1,Y
1,ADEPT,ADEPT,SKILLFUL,CONSUMMATE,1,0,1,0,3.5,1,Y
2,ADEPT,ADEPT,SKILLFUL,DEFT,1,0,1,0,3.5,1,Y
3,ADEPT,ADEPT,SKILLFUL,DEXTEROUS,1,0,1,0,3.5,1,Y
4,ADEPT,ADEPT,SKILLFUL,PROFICIENT,1,0,1,0,3.5,1,Y
5,ADEPT,ADEPT,SKILLFUL,PROWESS,1,0,1,0,3.5,1,Y
6,ADEPT,ADROIT,SKILLFUL,CONSUMMATE,2,0,1,0,3.5,1,N
7,ADEPT,ADROIT,SKILLFUL,DEFT,2,0,1,0,3.5,1,N
8,ADEPT,ADROIT,SKILLFUL,DEXTEROUS,2,0,1,0,3.5,1,N
9,ADEPT,ADROIT,SKILLFUL,PROFICIENT,2,0,1,0,3.5,1,N
10,ADEPT,ADROIT,SKILLFUL,PROWESS,2,0,1,0,3.5,1,N
11,ADEPT,CONSUMMATE,SKILLFUL,ADROIT,2,0,1,0,3.5,1,N
12,ADEPT,CONSUMMATE,SKILLFUL,DEFT,2,0,1,0,3.5,1,N
13,ADEPT,CONSUMMATE,SKILLFUL,DEXTEROUS,2,0,1,0,3.5,1,N
14,ADEPT,CONSUMMATE,SKILLFUL,PROFICIENT,2,0,1,0,3.5,1,N
15,ADEPT,CONSUMMATE,SKILLFUL,PROWESS,2,0,1,0,3.5,1,N
16,ADEPT,DEFT,SKILLFUL,ADROIT,2,0,1,0,3.5,1,N
17,ADEPT,DEFT,SKILLFUL,CONSUMMATE,2,0,1,0,3.5,1,N
18,ADEPT,DEFT,SKILLFUL,DEXTEROUS,2,0,1,0,3.5,1,N
19,ADEPT,DEFT,SKILLFUL,PROFICIENT,2,0,1,0,3.5,1,N
20,ADEPT,DEFT,SKILLFUL,PROWESS,2,0,1,0,3.5,1,N
21,ADEPT,DEXTEROUS,SKILLFUL,ADROIT,2,0,1,0,3.5,1,N
22,ADEPT,DEXTEROUS,SKILLFUL,CONSUMMATE,2,0,1,0,3.5,1,N
23,ADEPT,DEXTEROUS,SKILLFUL,DEFT,2,0,1,0,3.5,1,N
